probing 452 candidate IDs (Round 2)...
  HIT 1680000: None | n=359 | Lair, Graydon
  HIT 1680500: None | n=143 | Banerjee, Samir
  HIT 1681000: None | n=60 | Pozo, Caroline
  HIT 1681500: NTRP Women's 3.5 Singles Seedings | n=46 | Manfredi, Timea
  HIT 1682000: None | n=181 | Lilov, Victor
  HIT 1682500: None | n=84 | Kimball, S /Kimball, M
  HIT 1683500: None | n=24 | Possokhova, Darya
  HIT 1684500: *Boys 16 (Combined) | n=1091 | Hilderbrand, Trey
  HIT 1684671: Men's 85 Singles | n=3 | Stennett, Richard
  HIT 1684672: Men's 80 Doubles | n=6 | Fuentes, R /Kuechenmeister, G
  HIT 1684673: Men's 80 Singles | n=15 | Sack, Lester
  HIT 1684674: Men's 75 Doubles | n=15 | Hooker, L /Baughman, H
  HIT 1684675: Men's 75 Singles | n=30 | Butchee, Thay
  HIT 1684676: Men's 70 Doubles | n=19 | Grieco, R /Simon, W
  HIT 1684677: Men's 70 Singles | n=50 | Thomson, Hugh
  HIT 1684678: Men's 65 Doubles | n=53 | Pearson, M /Pearce, R
  HIT 1684679: Men's 65 Singles | n=82 | Dunlavy, Dean
  HIT 1684680: Men's 60 Doubles | n=30 | Stephens, R /Callen, J
  HIT 1684681: Men's 60 Singles | n=51 | Robinson, Fred
  HIT 1684682: Men's 55 Doubles | n=41 | Crofford, S /Davis, B
  HIT 1684683: Men's 55 Singles | n=98 | Wilkison, Andy
  HIT 1684684: Men's 50 Doubles | n=7 | Meyers, D /Buise, J
  HIT 1684685: Men's 50 Singles | n=21 | Nusenow, Theodore
  HIT 1684686: Men's 45 Doubles | n=24 | Bulow, M /Menzie, C
  HIT 1684687: Men's 45 Singles | n=47 | Potts, Kevin
  HIT 1684688: Men's 40 Doubles | n=8 | Fritts, J /Groer, C
  HIT 1684689: Men's 40 Singles | n=22 | Bolton, Bruce
  HIT 1684690: Men's 35 Doubles | n=15 | Safarian, A /Miller, B
  HIT 1684691: Men's 35 Singles | n=36 | Vogt, Christoph
  HIT 1684692: Men's 30 Doubles | n=5 | Hurtig, M /Ross, B
  HIT 1684693: Men's 30 Singles | n=14 | Wassell, William
  HIT 1684696: None | n=195 | Antoine, J /Bauer, A
  HIT 1684697: None | n=394 | Pereira, Michael
  HIT 1684698: Girls 12 Doubles Seeding | n=695 | Canete, Christine Inah
  HIT 1684699: Girls 14 Doubles Seeding | n=966 | Beck, Chloe
  HIT 1684700: Girls 16 Doubles Seeding | n=1070 | Li, Ann
  HIT 1684701: Girls 18 Doubles  Seeding | n=1207 | Shibahara, Ena
  HIT 1684702: Boys 12 Doubles Seeding | n=719 | Kittay, Benjamin
  HIT 1684703: Boys 14 Doubles Seeding | n=955 | GARCIA, NICHOLAS
  HIT 1684704: Boys 16 Doubles Seeding | n=1091 | Hilderbrand, Trey
  HIT 1684705: Boys 18 Doubles Seeding | n=1268 | Kirkov, Vasil
  HIT 1684706: Girls 12 Singles Seeding | n=906 | Scott, Katrina
  HIT 1684707: Girls 14 Singles Seeding | n=1188 | Volynets, Katie
  HIT 1684708: Girls 16 Singles Seeding | n=1302 | Choy, Sara
  HIT 1684709: Girls 18 Singles Seeding | n=1315 | Day, Kayla
  HIT 1684710: Boys 12 Singles Seeding | n=964 | Landau, Sam
  HIT 1684712: Boys 16 Singles Seeding | n=1320 | Haskins, Carson
  HIT 1684713: Boys 18 Singles Seeding | n=1472 | Riffice, Sam
  HIT 1684717: None | n=1 | Devoue, B /Devoue, D
  HIT 1684718: None | n=1 | Cohen, J /Cohen, R
  HIT 1684720: PPR NTRP Combined Mixed 8.0 Doubles | n=12 | Clemmer, T /Salkowski, A
  HIT 1684721: PPR NTRP Combined Mixed 7.0 Doubles | n=8 | Bridges, R /Scott, F
  HIT 1684725: PPR NTRP Women's 4.0 Doubles | n=6 | Crosten, K /Russell, A
  HIT 1684726: PPR NTRP Women's 4.0 Singles | n=12 | Soderhielm, Aino
  HIT 1684727: PPR NTRP Women's 3.5 Singles | n=4 | Swearingen, Ekaterina
  HIT 1684728: PPR NTRP Women's 3.0 Doubles | n=2 | Byrne, S /Jenkins, A
  HIT 1684729: PPR NTRP Women's 3.5 Doubles | n=10 | Lamar, L /Galatic, C
  HIT 1684730: PPR NTRP Women's 3.0 Singles | n=2 | Stout, Suzanne
  HIT 1684732: PPR NTRP Men's 4.5 Doubles | n=1 | Arsenault, T /Paetow, A
  HIT 1684733: PPR NTRP Men's 4.5 Singles | n=16 | Jones, Christopher
  HIT 1684734: PPR NTRP Men's 4.0 Doubles | n=4 | Stewart, P /Smith, C
  HIT 1684735: PPR NTRP Men's 4.0 Singles | n=42 | Pierce, Ryan
  HIT 1684736: PPR NTRP Men's 3.5 Doubles | n=2 | Larkin, M /Levin, L
  HIT 1684737: PPR NTRP Men's 3.5 Singles | n=21 | Koiloth, Maruthi
  HIT 1684739: PPR NTRP Men's 3.0 Singles | n=1 | Harris, Adam
  HIT 1684740: PPR Mixed 60 Doubles | n=1 | Wilson, R /Azizi, M
  HIT 1684741: PPR Mixed 55 Doubles | n=4 | Bell, M /Meehan, L
  HIT 1684742: PPR Mixed 45 Doubles | n=5 | Zhu, M /Milstein, H
  HIT 1684743: PPR Mixed 35 Doubles | n=3 | Wise, S /Layman, J
  HIT 1684744: None | n=48 | Sollenberger, A /Knarr, R
  HIT 1684747: PPR Women's 70 Doubles | n=31 | Cheesman, B /Anderson, L
  HIT 1684750: PPR Women's 65 Singles | n=1 | Perrin, Katherine
  HIT 1684751: PPR Women's 60 Doubles | n=2 | Foreman, C /Albright, A
  HIT 1685000: None | n=190 | Shin, Janice
  HIT 1685500: NTRP Combined Women's 7.5 Doubles | n=2 | Fannon, M /Norris, S
  HIT 1686000: Girls' 12 Singles | n=1 | Widiaman, Naomi
  HIT 1686500: Girls' 18 Singles | n=42 | Daavettila, Sara
  HIT 1688000: Boys' 14 Doubles | n=5 | Ostler, Jayden
  HIT 1689500: Men's 45 Doubles | n=50 | Asbell, Kevin
  HIT 1690000: None | n=157 | Lamb, Jaxon
  HIT 1690500: PPR EPD Boys 14's Singles Standings | n=13 | Lynn, David
  HIT 1691000: *Girls' 16 Standings (Combined) | n=21 | Boggs, Lora
  HIT 1691500: *Boys 10 (Combined) | n=62 | Lewis, William
  HIT 1692000: Boys' 10 Singles | n=7 | Vens, Isaac
  HIT 1692500: None | n=58 | Bandy, Maddox
  HIT 1693000: *Boys 18 (Combined) | n=1245 | Holt, Brandon
  HIT 1693500: Senior 50 NTRP Women's 3.0 Doubles | n=12 | Duncan, Carolyn
  HIT 1694000: Women's 60 Doubles | n=10 | Barnes, Andrea
  HIT 1694500: NTRP Women's 5.0 Doubles | n=8 | Lee Molotky, Trina
  HIT 1695000: None | n=1572 | Hayes, Carri
  HIT 1695500: *Girls' 14 12 Month Endorsement (Combined) | n=148 | Pielet, Gianna
  HIT 1696000: Sr 50s NTRP Women's 2.5 Singles | n=15 | Gayler, Michael
  HIT 1697000: None | n=471 | Huang, Austen
  HIT 1697500: Boys 14 Challenger Standings | n=91 | Epperson, Luke
  HIT 1698000: None | n=20 | Ovrootsky, Vivian
  HIT 1698500: None | n=159 | Gretkowski, Allie
  HIT 1699000: None | n=103 | Spicer, Jack
  HIT 1699500: *Girls 12 (Combined) | n=890 | Canete, Christine Inah
  HIT 1700000: *Girls 14 (Combined) | n=160 | Young, Karin
  HIT 1700500: 12Month Rolling Standing Nat Women's 30 Team Dbls | n=20 | Dockter, E /Takeuchi, E
  HIT 1703000: Mens 55 Singles Ranking | n=70 | Benbadis, Selim
  HIT 1703500: CIN Men 55 Singles Standing List | n=1 | Haltom, Mark
  HIT 1704500: 12Month Rolling Standing Nat Women's 45 Team Dbls | n=81 | Silveira, J /Ichikawa-Abel, M
  HIT 1705500: Mixed 55 Doubles | n=1 | Moore, C /Warden, G
  HIT 1706500: NTRP Combined Mixed 5.0 Doubles | n=60 | Rowan, Lucas
  HIT 1707000: Men's 4.5 Doubles | n=34 | Williams, C /Ko, J
  HIT 1707500: None | n=64 | Anthrop, Jack
  HIT 1708000: None | n=807 | Collins, Kylie
  HIT 1708500: None | n=8 | St Amant, Parker
  HIT 1709000: Girls' 14 Singles | n=9 | Manjon, Samantha
  HIT 1710500: None | n=8 | Lutz, Eric
  HIT 1711000: None | n=50 | Prinyarux, Alisa
  HIT 1711500: *Boys 18 (Combined) | n=1257 | Smith, Keegan
  HIT 1712000: Girls' 12 Singles | n=33 | Jacobson, Karolina
  HIT 1713000: None | n=8 | Williams, Elizabeth
  HIT 1713500: None | n=374 | Ong, Vanessa
  HIT 1714000: None | n=378 | Campana, Carolyn
  HIT 1715000: Men's 40 Doubles | n=6 | Bragonier, J /Viani, M
  HIT 1715500: Women 3.5 Singles | n=21 | Steinberg, Danna
  HIT 1716500: None | n=73 | Mitchell, Sidney
  HIT 1717000: Men's 3.5 Singles | n=12 | Keyhea, Vinson
  HIT 1718000: None | n=89 | Nedkov, Leo
